soc_code,pct_tasks_automation,pct_tasks_augmentation,diff_extensive,mean_automation,mean_augmentation,diff_intensive,occupation,two_digit_soc_code,total_employment,median_wage,educationcode,degfield_1,degree_share_1,degfield_2,degree_share_2,degfield_3,degree_share_3,related_soc_code_1,relatedness_score_1,related_soc_code_2,relatedness_score_2,related_soc_code_3,relatedness_score_3,ranking
"11-1011",.0789474,.1622807,-.0833333,3.596589,15.22694,-11.63035,"Chief Executives","Management",211850,206420,"Bachelors degree","business",.3605354,"engineering",.1117319,"social sciences",.1019854,"13-1111",2.340312,"11-1021",2.096216,"13-1082",2.025255,39
"11-1021",.1111111,.1111111,0,6.014692,5.096418,.9182739,"General and Operations Managers","Management",3584420,102950,"Bachelors degree","business",.3514659,"engineering",.0930254,"social sciences",.085134,"11-3012",2.560973,"43-1011",2.524709,"39-1014",2.521168,32
"11-1031",0,0,0,0,0,0,"Legislators","Management",26510,44810,"Bachelors degree",,,,,,,"19-3094",1.662829,"23-1012",1.439217,"43-6011",1.342472,100
"11-2011",.2113971,.2113971,0,11.18704,15.47963,-4.292589,"Advertising and Promotions Managers","Management",21100,126960,"Bachelors degree","communications",.2658755,"business",.2601325,"fine arts",.0961442,"41-3011",3.028975,"11-2021",2.855332,"13-1161",2.559391,21
"11-2021",.4166667,.3333333,.0833333,22.46714,22.9874,-.5202618,"Marketing Managers","Management",384980,161030,"Bachelors degree","business",.3461399,"communications",.1735326,"social sciences",.078884,"11-2022",2.87397,"11-2011",2.855332,"13-1161",2.829391,9
"11-2022",.125,.125,0,6.428572,6.071428,.3571434,"Sales Managers","Management",603710,138060,"Bachelors degree","business",.4150134,"social sciences",.0866448,"engineering",.0762398,"11-2021",2.87397,"41-3091",2.765537,"11-2011",2.382879,30
"11-3021",.2352941,.2352941,0,9.762148,13.76726,-4.005116,"Computer and Information Systems Managers","Management",645970,171200,"Bachelors degree","business",.2282495,"computer and information sciences",.2244622,"engineering",.1547288,"15-1252",3.104928,"13-1082",2.913048,"13-1111",2.617476,18
"11-3031",.09375,.09375,0,4.343014,6.371272,-2.028257,"Financial Managers","Management",818620,161700,"Bachelors degree","business",.5664122,"social sciences",.0986724,"engineering",.0371566,"13-2051",2.498548,"13-2052",2.325541,"13-2011",2.304846,35
"11-3051",.010989,0,.010989,1.098901,0,1.098901,"Industrial Production Managers","Management",234380,121440,"Bachelors degree","business",.24408,"engineering",.2319077,"biology and life sciences",.0730725,"51-8013",2.443524,"51-8099",2.384223,"49-9099",2.163189,53
"11-3061",.3333333,.2,.1333333,25.67011,7.663223,18.00689,"Purchasing Managers","Management",81240,139510,"Bachelors degree","business",.435302,"social sciences",.0944886,"engineering",.0734002,"43-3061",2.876519,"13-1020",2.403402,"11-2022",2.241138,13
"11-3071",.0585317,.0585317,0,3.190182,3.111294,.0788881,"Transportation, Storage, and Distribution Managers","Management",213000,102010,"HS diploma or equivalent","business",.4150054,"engineering",.0874681,"social sciences",.0765259,"13-1081",2.777975,"11-1021",2.198447,"11-3061",2.151583,45
"11-3111",0,0,0,0,0,0,"Compensation and Benefits Managers","Management",20070,140360,"Bachelors degree","business",.4438528,"social sciences",.0924319,"psychology",.0868083,"13-1141",3.36623,"43-4161",2.378946,"13-1071",2.335222,100
"11-3121",0,0,0,0,0,0,"Human Resources Managers","Management",215520,140030,"Bachelors degree","business",.4265913,"psychology",.0918469,"social sciences",.0819352,"13-1071",3.058147,"43-4161",2.900426,"13-1111",2.516853,100
"11-3131",.3,.4,-.1,14.70958,25.29042,-10.58084,"Training and Development Managers","Management",44960,127090,"Bachelors degree","business",.2363124,"education administration and teaching",.1019936,"social sciences",.0938053,"13-1151",3.767212,"25-9031",3.025954,"13-1111",2.724947,14
"11-9013",.0536062,.0721248,-.0185185,2.293538,5.331735,-3.038197,"Farmers, Ranchers, and Other Agricultural Managers","Management",5910,87980,"HS diploma or equivalent","agriculture",.3398491,"business",.1490693,"education administration and teaching",.0928909,"45-2092",2.394391,"17-2021",2.215314,"45-2093",2.209004,45
"11-9021",.1764706,.1176471,.0588235,13.78205,9.294872,4.48718,"Construction Managers","Management",348330,106980,"Bachelors degree","engineering",.2437424,"business",.2221359,"construction services",.1118304,"17-3022",2.661866,"47-1011",2.630359,"17-1011",2.461152,24
"11-9031",.125,.125,0,7.183099,6.150235,1.032864,"Education and Childcare Administrators, Preschool and Daycare","Management",71620,56270,"Bachelors degree","education administration and teaching",.3084643,"business",.122535,"social sciences",.0731258,"11-9032",2.732542,"25-2011",2.699473,"25-2052",2.646602,30
"11-9032",.1785714,.1785714,0,10.71225,12.36467,-1.652424,"Education Administrators, Kindergarten through Secondary","Management",319630,104070,"Masters degree","education administration and teaching",.3084643,"business",.122535,"social sciences",.0731258,"11-9033",2.766642,"11-9031",2.732542,"25-2021",2.511733,24
"11-9033",.2,.2,0,9.251105,10.7489,-1.49779,"Education Administrators, Postsecondary","Management",176420,103960,"Masters degree","education administration and teaching",.3084643,"business",.122535,"social sciences",.0731258,"11-9032",2.766642,"25-1081",2.558824,"25-9031",2.290643,22
"11-9039",.0434783,.0434783,0,1.874728,2.473098,-.5983701,"Education Administrators, All Other","Management",53330,89040,"Bachelors degree","education administration and teaching",.3084643,"business",.122535,"social sciences",.0731258,"",,"",,"",,50
"11-9041",.0833333,.125,-.0416667,3.308632,10.32773,-7.0191,"Architectural and Engineering Managers","Management",210340,167740,"Bachelors degree","engineering",.6289524,"computer and information sciences",.0928231,"business",.0697142,"51-8099",2.300526,"17-2041",2.265781,"17-3026",2.265441,38
"11-9051",0,0,0,0,0,0,"Food Service Managers","Management",244230,65310,"HS diploma or equivalent","business",.3555342,"social sciences",.0754241,"education administration and teaching",.0552616,"35-1011",2.266046,"35-1012",2.225516,"35-2021",2.08309,100
"11-9071",0,0,0,0,0,0,"Gambling Managers","Management",4620,85580,"HS diploma or equivalent","business",.2630566,"physical fitness, parks, recreation, and leisure",.0969916,"education administration and teaching",.0915764,"39-1013",2.460566,"43-3041",2.166333,"39-3011",1.925227,100
"11-9081",.0952381,.0952381,0,5.272174,4.727826,.5443478,"Lodging Managers","Management",41350,68130,"HS diploma or equivalent","business",.3850364,"social sciences",.0738344,"education administration and teaching",.0662086,"43-4081",2.365259,"11-9051",1.689966,"11-9141",1.687806,34
"11-9111",.1875,.125,.0625,15.46387,5.964697,9.499176,"Medical and Health Services Managers","Management",565840,117960,"Bachelors degree","medical and health sciences and services",.3278834,"business",.1433609,"psychology",.0904604,"21-1091",2.609912,"29-1214",2.575964,"11-9151",2.563584,23
"11-9121",.0764411,.0764411,2.48e-09,4.636381,5.451339,-.8149582,"Natural Sciences Managers","Management",100870,161180,"Bachelors degree","biology and life sciences",.2595527,"medical and health sciences and services",.1027966,"psychology",.0898794,"13-1082",1.975992,"17-2031",1.834212,"13-1111",1.799897,40
"11-9131",0,0,0,0,0,0,"Postmasters and Mail Superintendents","Management",13810,92730,"HS diploma or equivalent",,,,,,,"43-5051",2.392282,"11-3012",2.089573,"43-1011",2.081295,100
"11-9141",.2222222,.0555556,.1666667,23.71585,2.95082,20.76503,"Property, Real Estate, and Community Association Managers","Management",296640,66700,"HS diploma or equivalent","business",.3507704,"social sciences",.0998768,"communications",.0565788,"41-9022",2.604277,"41-9021",2.524019,"13-2020",1.879826,20
"11-9151",.1428571,.0714286,.0714286,11.46589,3.918723,7.54717,"Social and Community Service Managers","Management",195490,78240,"Bachelors degree","social sciences",.1412825,"business",.1391704,"psychology",.114535,"21-1021",2.792091,"21-1015",2.764503,"11-9031",2.5834,28
"11-9161",0,0,0,0,0,0,"Emergency Management Directors","Management",12570,86130,"Bachelors degree","business",.1975201,"criminal justice and fire protection",.164271,"social sciences",.1099352,"43-5031",2.302424,"29-1214",2.243,"29-2042",2.03226,100
"11-9199",.0904248,.0982951,-.0078704,4.731984,5.998155,-1.266171,"Managers, All Other","Management",630980,136550,"Bachelors degree","business",.2866628,"engineering",.1156943,"social sciences",.0903422,"13-1111",1.751159,"17-2081",1.703702,"13-1082",1.640083,36
"13-1011",.2222222,.2222222,0,8.143167,14.07905,-5.935887,"Agents and Business Managers of Artists, Performers, and Athletes","Business and Financial",14220,96310,"Bachelors degree","business",.2381329,"fine arts",.1483321,"communications",.1003556,"41-3011",1.932961,"27-3031",1.925046,"11-2011",1.721257,20
"13-1031",0,0,0,0,0,0,"Claims Adjusters, Examiners, and Investigators","Business and Financial",305020,76790,"HS diploma or equivalent","business",.3313074,"social sciences",.1019487,"psychology",.060897,"43-9041",2.726904,"23-1011",2.165778,"43-4061",2.06982,100
"13-1032",0,0,0,0,0,0,"Insurance Appraisers, Auto Damage","Business and Financial",7790,76650,"Postsecondary nondegree award","business",.3313074,"social sciences",.1019487,"psychology",.060897,"49-3021",1.886792,"49-3023",1.878416,"13-2020",1.699482,100
"13-1041",.2323232,.239899,-.0075758,10.81971,13.17019,-2.350478,"Compliance Officers","Business and Financial",397770,78420,"Bachelors degree","business",.2703725,"social sciences",.1154491,"biology and life sciences",.0699966,"13-1111",1.59443,"43-4061",1.443616,"11-3012",1.423193,19
"13-1051",.1666667,.25,-.0833333,7.87037,17.12963,-9.259258,"Cost Estimators","Business and Financial",219530,77070,"Bachelors degree","business",.2403375,"engineering",.2036775,"construction services",.0985867,"17-3022",2.212526,"11-9021",2.209282,"43-5061",1.988457,26
"13-1071",.35,.25,.1,29.08473,12.09174,16.99298,"Human Resources Specialists","Business and Financial",917460,72910,"Bachelors degree","business",.379157,"psychology",.0946395,"social sciences",.088623,"43-4161",3.285097,"11-3121",3.058147,"43-4061",2.531174,11
"13-1074",0,0,0,0,0,0,"Farm Labor Contractors","Business and Financial",410,48690,"No formal education","business",.3791571,"psychology",.0946395,"social sciences",.088623,"45-1011",1.947521,"11-9013",1.819261,"39-1014",1.585294,100
"13-1075",0,0,0,0,0,0,"Labor Relations Specialists","Business and Financial",64590,93500,"Bachelors degree","business",.379157,"psychology",.0946394,"social sciences",.088623,"23-1022",2.367812,"11-3121",2.275877,"13-1141",2.144702,100
"13-1081",.1240741,.087037,.037037,10.77167,5.960351,4.811323,"Logisticians","Business and Financial",235640,80880,"Bachelors degree","business",.4145598,"social sciences",.083775,"engineering",.0545639,"11-3071",2.777975,"13-1082",2.456038,"13-1111",2.227538,30
"13-1111",.3,.1,.2,23.63517,6.364829,17.27034,"Management Analysts","Business and Financial",893900,101190,"Bachelors degree","business",.3017741,"social sciences",.1236668,"engineering",.1021647,"13-1082",3.229924,"29-9021",2.853264,"11-3012",2.84692,14
"13-1121",.1538462,.2307692,-.0769231,8.811687,18.46104,-9.649351,"Meeting, Convention, and Event Planners","Business and Financial",134670,59440,"Bachelors degree","business",.2891015,"communications",.1588738,"social sciences",.0815858,"13-1111",1.812116,"13-1131",1.720069,"41-3091",1.706276,27
"13-1131",.0869565,.0869565,0,6.006048,7.327286,-1.321239,"Fundraisers","Business and Financial",105930,66490,"Bachelors degree","business",.1722037,"social sciences",.1571005,"communications",.1269666,"11-2033",3.84626,"27-3031",1.982309,"11-2011",1.758019,37
"13-1141",0,0,0,0,0,0,"Compensation, Benefits, and Job Analysis Specialists","Business and Financial",102370,77020,"Bachelors degree","business",.4235398,"social sciences",.0932422,"psychology",.0761942,"11-3111",3.36623,"43-4161",2.575218,"13-1071",2.506157,100
"13-1151",.1176471,.1176471,0,8.51513,5.770584,2.744546,"Training and Development Specialists","Business and Financial",436610,65850,"Bachelors degree","business",.2318628,"education administration and teaching",.0942607,"social sciences",.0843899,"11-3131",3.767212,"25-9031",3.044399,"13-1111",2.411986,30
"13-1161",.5384616,.4615385,.0769231,34.05079,24.28255,9.768238,"Market Research Analysts and Marketing Specialists","Business and Financial",861140,76950,"Bachelors degree","business",.3156519,"communications",.1698872,"social sciences",.0869688,"11-2021",2.829391,"11-2011",2.559391,"41-3011",2.255764,5
"13-1199",.153125,.1434888,.0096362,10.00624,9.41486,.5913796,"Business Operations Specialists, All Other","Business and Financial",1128200,81270,"Bachelors degree","business",.2495598,"social sciences",.1004001,"engineering",.0790752,"13-1111",2.071589,"15-1212",1.732039,"13-1082",1.631468,27
"13-2011",.4903846,.3269231,.1634615,35.99441,15.14195,20.85246,"Accountants and Auditors","Business and Financial",1448290,81680,"Bachelors degree","business",.7207455,"social sciences",.0476539,"education administration and teaching",.0252165,"43-3031",2.729787,"13-2061",2.615612,"13-2082",2.451367,7
"13-2031",.0909091,.1818182,-.0909091,2.363636,15.81818,-13.45455,"Budget Analysts","Business and Financial",47170,87930,"Bachelors degree","business",.4758093,"social sciences",.1209006,"engineering",.0473492,"13-2011",2.416906,"13-2061",2.074905,"13-2052",2.041297,36
"13-2041",0,0,0,0,0,0,"Credit Analysts","Business and Financial",67370,80970,"Bachelors degree","business",.5874081,"social sciences",.0985438,"communications",.0310872,"43-4041",3.244398,"13-2072",2.909751,"43-4131",2.828127,100
"13-2051",.8,.8,0,41.81236,38.18764,3.624718,"Financial and Investment Analysts","Business and Financial",340580,101350,"Bachelors degree","business",.5587996,"social sciences",.1357803,"engineering",.0497074,"13-2052",3.44842,"41-3031",3.338438,"13-2054",2.9162,1
"13-2052",.5294118,.4705882,.0588236,28.69973,24.24145,4.458277,"Personal Financial Advisors","Business and Financial",270480,102140,"Bachelors degree","business",.5002891,"social sciences",.1330236,"engineering",.0431987,"13-2051",3.44842,"13-2071",3.178598,"41-3031",2.970674,5
"13-2053",.1428571,0,.1428571,14.28571,0,14.28571,"Insurance Underwriters","Business and Financial",107820,79880,"Bachelors degree","business",.4349963,"social sciences",.113693,"psychology",.0500623,"13-2054",2.274277,"43-9041",2.190621,"13-2072",2.052392,28
"13-2061",.0588235,.1176471,-.0588235,1.90272,9.861985,-7.959265,"Financial Examiners","Business and Financial",62830,90400,"Bachelors degree","business",.5625787,"social sciences",.1398972,"psychology",.0294272,"13-2011",2.615612,"13-2041",2.455509,"13-2054",2.249155,45
"13-2071",.2484848,.2712121,-.0227273,11.19205,19.00026,-7.808211,"Credit Counselors","Business and Financial",28110,50480,"Bachelors degree","business",.4882367,"social sciences",.098467,"communications",.0432687,"13-2052",3.178598,"13-2072",2.891725,"43-4041",2.723539,17
"13-2072",.1666667,.1666667,0,9.952561,10.04744,-.0948772,"Loan Officers","Business and Financial",290530,74180,"Bachelors degree","business",.4882367,"social sciences",.098467,"communications",.0432687,"43-4131",3.237365,"13-2041",2.909751,"13-2071",2.891725,26
"13-2081",.1111111,.2222222,-.1111111,3.31384,18.90838,-15.59454,"Tax Examiners and Collectors, and Revenue Agents","Business and Financial",53530,59740,"Bachelors degree","business",.5350881,"social sciences",.0760203,"education administration and teaching",.0478691,"13-2082",2.936131,"43-3011",2.377687,"13-2011",2.370995,32
"13-2082",.1818182,.3636364,-.1818182,3.876776,32.48686,-28.61008,"Tax Preparers","Business and Financial",73570,50560,"HS diploma or equivalent","business",.5217488,"social sciences",.0816569,"education administration and teaching",.0615639,"13-2081",2.936131,"13-2011",2.451367,"13-2052",2.17256,24
"13-2099",.2173402,.1922776,.0250627,14.08332,11.67561,2.407715,"Financial Specialists, All Other","Business and Financial",127450,80190,"Bachelors degree","business",.4616977,"social sciences",.1262196,"engineering",.052169,"13-2054",2.28806,"13-2051",1.947037,"13-1111",1.933679,20
"15-2011",.0833333,.25,-.1666667,2.665819,24.60691,-21.94109,"Actuaries","Computer and Mathematical",28340,125770,"Bachelors degree","mathematics and statistics",.4224388,"business",.3248059,"social sciences",.0467279,"13-2054",1.832533,"13-2051",1.806778,"13-2052",1.751788,38
"15-2021",.3333333,.4444444,-.1111111,16.72018,33.27982,-16.55965,"Mathematicians","Computer and Mathematical",2220,121680,"Masters degree",,,,,,,"19-2012",2.616366,"15-1221",2.424289,"15-2041",2.334792,13
"15-2031",.5833333,.5833333,0,25.53151,38.10486,-12.57335,"Operations Research Analysts","Computer and Mathematical",107760,91290,"Bachelors degree","business",.2441582,"social sciences",.1474617,"engineering",.0808393,"13-1111",2.64141,"15-2051",2.541254,"15-1252",2.457577,3
"15-2041",.3469499,.3469499,0,18.64721,21.52708,-2.879862,"Statisticians","Computer and Mathematical",29800,103300,"Masters degree",,,,,,,"43-9111",2.461659,"15-2051",2.460972,"15-2099",2.433242,11
"17-1011",.125,.1666667,-.0416667,6.246843,11.93498,-5.688133,"Architects, Except Landscape and Naval","Architecture and Engineering",111140,96690,"Bachelors degree","architecture",.6194361,"engineering",.0633464,"business",.0579083,"17-1012",2.734903,"27-1025",2.566224,"11-9021",2.461152,30
"17-1012",.1578947,.1052632,.0526316,9.978464,6.688202,3.290262,"Landscape Architects","Architecture and Engineering",19580,79660,"Bachelors degree","architecture",.5311291,"business",.069166,"fine arts",.069048,"17-1011",2.734903,"27-1025",2.109405,"25-1031",1.873371,26
"17-1021",.0909091,0,.0909091,10,0,10,"Cartographers and Photogrammetrists","Architecture and Engineering",12790,78380,"Bachelors degree","engineering",.2373485,"social sciences",.1478595,"environment and natural resources",.1192376,"17-3031",2.947159,"17-1022",2.300446,"19-3092",2.010663,36
"17-1022",0,0,0,0,0,0,"Surveyors","Architecture and Engineering",53080,72740,"Bachelors degree","engineering",.2373485,"social sciences",.1478595,"environment and natural resources",.1192376,"17-3031",2.776982,"17-1021",2.300446,"19-4043",2.226031,100
"17-2011",.1,.1,0,5.921052,4.078948,1.842105,"Aerospace Engineers","Architecture and Engineering",68440,134830,"Bachelors degree","engineering",.7205865,"physical sciences",.0541645,"business",.0524516,"17-3021",3.365595,"49-2091",2.902774,"49-3011",2.695578,34
"17-2021",.0714286,.0714286,0,2.842809,4.849498,-2.006689,"Agricultural Engineers","Architecture and Engineering",1680,84630,"Bachelors degree","engineering",.6224987,"biology and life sciences",.0739187,"business",.0538599,"19-1013",2.385074,"19-4012",2.330953,"17-2081",2.294175,41
"17-2031",.1666667,.1666667,0,3.020335,15.16148,-12.14115,"Bioengineers and Biomedical Engineers","Architecture and Engineering",21860,106950,"Bachelors degree",,,,,,,"17-3026",2.655264,"17-2041",2.573377,"19-1021",2.564767,26
"17-2041",0,0,0,0,0,0,"Chemical Engineers","Architecture and Engineering",20330,121860,"Bachelors degree","engineering",.7735289,"business",.0459015,"physical sciences",.0446087,"17-2131",2.903275,"51-8091",2.887625,"19-2031",2.75613,100
"17-2051",.0714286,.1026786,-.03125,3.277972,7.747669,-4.469697,"Civil Engineers","Architecture and Engineering",355410,99590,"Bachelors degree","engineering",.7642635,"business",.0485793,"physical sciences",.022653,"17-2081",2.525514,"17-3022",2.475159,"11-9021",2.32989,41
"17-2061",.3125,.3125,0,15.96997,17.36337,-1.393396,"Computer Hardware Engineers","Architecture and Engineering",75710,155020,"Bachelors degree","engineering",.4138142,"computer and information sciences",.2492702,"business",.0941712,"15-1252",3.651112,"17-3023",3.039251,"17-2072",3.005368,13
"17-2071",.1,.1,0,4.563758,5.436242,-.8724837,"Electrical Engineers","Architecture and Engineering",188790,111910,"Bachelors degree","engineering",.7510072,"business",.0494786,"engineering technologies",.0387879,"17-3023",3.220704,"49-2094",2.995989,"17-2072",2.801075,34
"17-2072",.0833333,.0654762,.0178571,5.761317,5.203595,.5577214,"Electronics Engineers, Except Computer","Architecture and Engineering",93940,127590,"Bachelors degree","engineering",.7510071,"business",.0494786,"engineering technologies",.0387879,"17-3023",3.111896,"17-2061",3.005368,"49-2094",2.9293,38
"17-2081",.0208333,.0208333,0,1.167929,.9154041,.2525252,"Environmental Engineers","Architecture and Engineering",37950,104170,"Bachelors degree","engineering",.6292976,"physical sciences",.0831269,"business",.0497759,"17-3025",2.957042,"19-4042",2.872219,"51-8031",2.540163,52
"17-2111",0,0,0,0,0,0,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors","Architecture and Engineering",23220,109660,"Bachelors degree","engineering",.5681551,"business",.0980094,"engineering technologies",.0568475,"19-5011",2.649184,"19-5012",2.589422,"33-2021",2.291868,100
"17-2112",.1126374,.1126374,0,4.283456,7.621305,-3.337849,"Industrial Engineers","Architecture and Engineering",350230,101140,"Bachelors degree","engineering",.5681551,"business",.0980094,"engineering technologies",.0568475,"17-3026",2.562236,"17-3028",2.499195,"17-3027",2.4692,31
"17-2121",.09375,.09375,0,4.890023,5.109977,-.2199545,"Marine Engineers and Naval Architects","Architecture and Engineering",8440,105670,"Bachelors degree","engineering",.7047825,"business",.0573283,"engineering technologies",.0339952,"53-5031",2.761821,"17-3021",2.578996,"17-2011",2.544829,35
"17-2131",0,0,0,0,0,0,"Materials Engineers","Architecture and Engineering",22770,108310,"Bachelors degree","engineering",.6061832,"physical sciences",.1250703,"business",.0708537,"19-2032",2.94472,"17-2041",2.903275,"19-4031",2.598234,100
"17-2141",.0815735,.1037957,-.0222222,3.418434,6.961139,-3.542705,"Mechanical Engineers","Architecture and Engineering",286760,102320,"Bachelors degree","engineering",.7593111,"business",.0504816,"engineering technologies",.0414807,"17-3027",2.723985,"17-2071",2.679831,"17-3023",2.633558,38
"17-2151",0,0,0,0,0,0,"Mining and Geological Engineers, Including Mining Safety Engineers","Architecture and Engineering",6770,101020,"Bachelors degree","engineering",.7754267,"business",.0419748,"physical sciences",.0405393,"17-2171",3.036525,"19-4043",2.32687,"17-2041",2.258767,100
"17-2161",.2,.2,0,8.019206,11.98079,-3.961588,"Nuclear Engineers","Architecture and Engineering",14740,127520,"Bachelors degree",,,,,,,"51-8011",3.10192,"19-4051",2.75069,"17-2041",2.708436,22
"17-2171",0,0,0,0,0,0,"Petroleum Engineers","Architecture and Engineering",18970,141280,"Bachelors degree",,,,,,,"17-2151",3.036525,"17-2041",2.61657,"19-4043",2.531862,100
"17-2199",.1023555,.1185038,-.0161483,5.263062,8.749577,-3.486514,"Engineers, All Other","Architecture and Engineering",150750,117750,"Bachelors degree","engineering",.6698239,"business",.0571378,"computer and information sciences",.0552862,"17-2071",2.502486,"17-3023",2.398917,"17-3024",2.272255,32
"17-3011",.0555556,.0555556,0,2.604167,3.645833,-1.041667,"Architectural and Civil Drafters","Architecture and Engineering",109550,64280,"Associates degree","engineering",.2251498,"architecture",.1830486,"fine arts",.1457732,"17-3013",3.259231,"17-3012",3.181837,"17-3022",3.060348,45
"17-3012",.1454546,0,.1454546,15.55556,0,15.55556,"Electrical and Electronics Drafters","Architecture and Engineering",20020,73720,"Associates degree",,,,,,,"17-3013",3.278632,"17-3011",3.181837,"17-3023",2.933334,27
"17-3013",0,0,0,0,0,0,"Mechanical Drafters","Architecture and Engineering",39900,68510,"Associates degree",,,,,,,"17-3012",3.278632,"17-3011",3.259231,"27-1021",2.731061,100
"17-3021",0,0,0,0,0,0,"Aerospace Engineering and Operations Technologists and Technicians","Architecture and Engineering",9060,79830,"Associates degree",,,,,,,"17-3028",3.845642,"49-2091",3.567887,"17-2011",3.365595,100
"17-3022",.125,.25,-.125,9.506106,19.06532,-9.559215,"Civil Engineering Technologists and Technicians","Architecture and Engineering",62130,64200,"Associates degree",,,,,,,"17-3011",3.060348,"11-9021",2.661866,"17-3012",2.607026,30
"17-3023",.2403846,.1394231,.1009615,14.96928,11.16709,3.802187,"Electrical and Electronic Engineering Technologists and Technicians","Architecture and Engineering",92710,77180,"Associates degree","engineering",.2688023,"business",.1378141,"engineering technologies",.1239112,"17-3028",3.830077,"49-2094",3.382417,"17-3024",3.270031,18
"17-3024",.1127451,.1127451,0,4.029412,8.911764,-4.882353,"Electro-Mechanical and Mechatronics Technologists and Technicians","Architecture and Engineering",14680,70760,"Associates degree",,,,,,,"17-3028",3.400856,"17-3021",3.363347,"17-3023",3.270031,30
"17-3025",.0833333,0,.0833333,9.090909,0,9.090909,"Environmental Engineering Technologists and Technicians","Architecture and Engineering",12500,58890,"Associates degree",,,,,,,"17-2081",2.957042,"19-4042",2.888205,"17-3022",2.455082,38
"17-3026",.1,.1,0,4.390244,5.609756,-1.219513,"Industrial Engineering Technologists and Technicians","Architecture and Engineering",73410,64790,"Associates degree",,,,,,,"17-3028",2.844865,"17-3027",2.753308,"17-3021",2.749666,34
"17-3027",.0277778,0,.0277778,3.571429,0,3.571429,"Mechanical Engineering Technologists and Technicians","Architecture and Engineering",37450,68730,"Associates degree",,,,,,,"17-3028",3.480102,"17-3021",3.295942,"17-3023",3.18928,51
"17-3029",.0745107,.070008,.0045027,4.770332,4.279695,.4906366,"Engineering Technologists and Technicians, Except Drafters, All Other","Architecture and Engineering",64410,77390,"Associates degree","engineering",.2547368,"business",.1383359,"biology and life sciences",.1051583,"17-3028",2.779965,"17-3021",2.691847,"17-3023",2.621715,40
"17-3031",0,0,0,0,0,0,"Surveying and Mapping Technicians","Architecture and Engineering",56720,51940,"HS diploma or equivalent","social sciences",.2262573,"engineering",.1709722,"physical sciences",.0682641,"17-1021",2.947159,"17-1022",2.776982,"19-4043",2.489801,100
"19-1011",0,0,0,0,0,0,"Animal Scientists","Life, Physical, and Social Science",2470,79120,"Bachelors degree","agriculture",.4283589,"biology and life sciences",.1694502,"physical sciences",.0571846,"19-1013",2.487807,"19-1012",2.426999,"19-1022",2.175076,100
"19-1012",.3846154,.3076923,.0769231,21.46678,20.19988,1.266901,"Food Scientists and Technologists","Life, Physical, and Social Science",14370,85310,"Bachelors degree","agriculture",.4283589,"biology and life sciences",.1694502,"physical sciences",.0571846,"19-4013",2.953509,"19-1011",2.426999,"19-2031",2.418961,10
"19-1013",.1428571,.1428571,0,4.558166,12.1085,-7.550335,"Soil and Plant Scientists","Life, Physical, and Social Science",16600,71410,"Bachelors degree","agriculture",.4283589,"biology and life sciences",.1694502,"physical sciences",.0571846,"19-4012",2.795489,"19-1011",2.487807,"17-2021",2.385074,28
"19-1021",.2142857,.4285714,-.2142857,9.839507,36.31434,-26.47483,"Biochemists and Biophysicists","Life, Physical, and Social Science",34520,103650,"Doctoral or professional degree","biology and life sciences",.5445125,"environment and natural resources",.1125087,"physical sciences",.0640556,"19-1022",2.943268,"19-1042",2.771693,"19-2031",2.685419,21
"19-1022",.1818182,.3636364,-.1818182,6.111663,33.88834,-27.77668,"Microbiologists","Life, Physical, and Social Science",19760,87330,"Bachelors degree","biology and life sciences",.5445124,"environment and natural resources",.1125087,"physical sciences",.0640556,"19-1021",2.943268,"19-4021",2.714677,"19-1042",2.714567,24
"19-1023",0,.1428571,-.1428571,0,16.66667,-16.66667,"Zoologists and Wildlife Biologists","Life, Physical, and Social Science",16920,72860,"Bachelors degree","biology and life sciences",.5445125,"environment and natural resources",.1125087,"physical sciences",.0640556,"33-3031",2.007547,"19-1013",1.933344,"19-1031",1.915813,100
"19-1029",.3226165,.3888227,-.0662062,18.99079,29.44058,-10.44979,"Biological Scientists, All Other","Life, Physical, and Social Science",59710,93330,"Bachelors degree","biology and life sciences",.5445125,"environment and natural resources",.1125087,"physical sciences",.0640556,"19-1021",2.643622,"19-4021",2.439042,"19-1022",2.396256,13
"19-1031",.0413534,.0413534,0,2.460107,1.772698,.6874092,"Conservation Scientists","Life, Physical, and Social Science",25590,67950,"Bachelors degree","environment and natural resources",.4813436,"agriculture",.1108245,"biology and life sciences",.0969312,"19-4071",2.239385,"19-1032",2.153488,"19-1023",1.915813,50
"19-1032",0,0,0,0,0,0,"Foresters","Life, Physical, and Social Science",9650,70660,"Bachelors degree","environment and natural resources",.4813436,"agriculture",.1108245,"biology and life sciences",.0969312,"19-4071",2.964705,"45-4011",2.216705,"19-1013",2.204282,100
"19-1041",0,.0909091,-.0909091,0,9.090909,-9.090909,"Epidemiologists","Life, Physical, and Social Science",11460,83980,"Masters degree",,,,,,,"19-1042",2.673366,"29-1214",2.405941,"29-1222",2.360961,100
"19-1042",.3333333,.5,-.1666667,12.0519,37.9481,-25.8962,"Medical Scientists, Except Epidemiologists","Life, Physical, and Social Science",156300,100590,"Doctoral or professional degree",,,,,,,"19-1021",2.771693,"19-1022",2.714567,"19-1041",2.673366,13
